CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,38,207","5,154","8,66,501",28.02,4.00,-4.60,"6,800",4.00,4.90,"3,100","17,700.00",50,650.00,654.80,550,-27.50,651.85,-,"8,306","-1,351","18,320",
,"61,172","23,667","3,49,372",29.92,4.20,-3.25,350,4.15,4.50,500,"17,750.00",450,694.40,709.45,450,-15.40,715.75,-,560,-232,"1,708",
,"1,14,237","-6,276","6,93,153",31.31,4.00,-2.40,50,4.00,4.20,50,"17,800.00",100,747.10,752.60,100,-43.45,748.00,-,"6,908","-3,108","16,954",
,"42,353","9,597","2,09,099",32.66,3.80,-1.80,400,3.60,4.50,150,"17,850.00",450,781.20,834.35,"1,500",-6.30,815.80,-,413,-211,737,
,"77,258","-18,069","4,50,887",34.33,3.85,-1.15,100,3.35,3.60,50,"17,900.00",100,845.55,854.20,100,-22.20,851.65,-,"1,972",-533,"9,698",
,"13,169","-6,029","90,658",35.23,3.40,-1.25,250,3.05,3.50,50,"17,950.00",750,893.25,916.15,150,-9.05,916.30,-,189,-17,566,
,"1,72,055","-31,555","7,61,561",36.09,3.00,-1.50,"1,800",3.00,3.20,650,"18,000.00",350,945.00,951.85,150,-18.50,953.60,-,"14,120","-6,550","22,287",
,"19,259","-27,376","1,24,703",37.42,2.90,-1.35,"4,700",2.90,3.15,"1,200","18,050.00",50,977.45,"1,026.00",450,-9.90,"1,014.20",-,136,-16,455,
,"61,209","-18,855","3,38,060",39.10,3.00,-1.00,200,3.00,3.25,"1,800","18,100.00",450,"1,042.20","1,068.10",250,-20.35,"1,054.00",-,"1,191",-510,"2,027",
,"14,870","-3,421","56,182",40.39,2.90,-0.80,"4,300",2.50,2.75,300,"18,150.00",50,"1,070.10","1,125.50",150,-4.75,"1,110.45",-,77,-26,829,
,"66,762","-10,598","2,59,243",41.44,2.70,-0.95,"3,700",2.70,2.85,350,"18,200.00",750,"1,143.45","1,178.85",200,-23.60,"1,151.00",-,315,-189,"2,562",
,"14,053","-1,026","49,650",43.10,2.80,-0.55,50,2.50,2.80,250,"18,250.00",300,"1,184.40","1,222.25",750,-23.40,"1,192.25",-,20,-11,655,
,"49,079","-16,156","2,00,381",44.09,2.60,-0.75,500,2.40,2.60,50,"18,300.00",150,"1,239.25","1,280.80","1,500",-9.00,"1,259.05",-,77,-52,"1,291",
,"15,264","-1,998","46,211",45.97,2.80,-0.35,500,2.35,2.80,100,"18,350.00",150,"1,276.15","1,309.75",50,-2.65,"1,311.95",-,5,-3,125,
,"24,207","-7,911","1,06,306",47.04,2.65,-0.55,"3,100",2.65,3.50,"1,600","18,400.00",600,"1,343.10","1,352.95",150,1.65,"1,376.15",-,108,-38,"1,425",
,"6,551",-887,"17,823",49.37,3.05,-0.10,600,2.15,3.05,150,"18,450.00",300,"1,381.40","1,428.70",150,103.90,"1,407.80",-,6,-4,122,
,"1,17,424",-585,"4,73,650",49.84,2.65,-0.50,100,2.60,2.65,50,"18,500.00",350,"1,445.00","1,450.00",50,-24.40,"1,449.95",-,"1,191",-611,"4,661",
,"7,022",-306,"16,307",49.57,2.05,-0.95,650,2.05,2.30,"1,200","18,550.00",150,"1,488.95","1,510.65",150,-4.20,"1,510.60",-,7,-3,77,
,"22,802","-3,686","93,740",51.36,2.20,-0.70,"26,150",2.20,2.70,100,"18,600.00",150,"1,535.80","1,568.40",150,-7.40,"1,562.10",-,52,-7,302,
,"2,836",-561,"6,345",53.84,2.60,-0.30,600,2.15,2.60,800,"18,650.00",300,"1,565.60","1,625.95",300,26.20,"1,638.15",60.18,6,-3,35,
,"24,796","-5,954","77,821",55.47,2.70,-0.20,50,2.70,2.75,950,"18,700.00",150,"1,641.00","1,668.95",100,25.25,"1,661.65",-,20,-11,184,
,"1,414",-315,"2,682",56.41,2.55,-0.35,50,2.20,2.60,50,"18,750.00",100,"1,694.60","1,730.55",300,31.70,"1,743.05",69.70,9,-5,65,
,"19,095","-3,879","42,772",56.69,2.20,-0.50,350,2.20,2.45,50,"18,800.00",150,"1,716.75","1,754.35",100,-24.40,"1,763.40",-,19,-7,109,
,"12,059",-515,"8,051",58.93,2.50,-0.35,"1,000",2.40,2.70,50,"18,850.00","1,500","1,766.60","1,833.70",850,632.75,"1,838.15",66.22,4,-,14,
,"7,341",-337,"24,973",59.63,2.30,-0.45,50,2.25,2.50,950,"18,900.00",450,"1,840.85","1,868.15",50,-35.20,"1,830.00",-,25,-5,66,
,997,-237,"3,104",60.94,2.30,-0.30,"3,600",1.55,2.40,50,"18,950.00","1,500","1,866.25","1,930.65","1,500",-,"1,037.00",-,-,-,16,
,"93,797","-48,496","3,32,403",62.24,2.30,-0.40,500,2.25,2.35,"1,750","19,000.00",550,"1,941.55","1,955.65",550,-28.10,"1,951.00",-,893,-587,"8,393",
,"1,332",25,"2,718",63.36,2.25,-0.25,900,2.00,2.25,850,"19,050.00","1,500","1,967.55","2,080.05","1,500",-,"1,310.30",-,-,-,12,
,"7,813",-732,"20,262",65.63,2.55,0.10,100,2.00,2.55,400,"19,100.00",300,"2,020.85","2,069.45",100,-29.80,"2,034.30",-,15,-4,28,
,460,60,"1,041",65.56,2.15,-0.40,"1,650",2.15,2.50,200,"19,150.00",300,"2,072.60","2,128.90",50,667.75,"2,142.20",81.18,4,-,11,
,"8,627",-234,"11,896",67.19,2.25,-0.15,700,2.25,2.40,100,"19,200.00",300,"2,134.95","2,166.95",100,36.80,"2,195.00",86.10,3,-3,29,
,689,48,"1,318",68.08,2.15,-0.40,"1,550",2.10,2.25,400,"19,250.00",50,"2,179.45","2,279.30","1,500",-,"2,194.40",-,-,-,12,
,"11,447",258,"15,119",69.70,2.25,-0.05,650,2.10,2.35,100,"19,300.00",150,"2,230.00","2,282.10","1,500",-,"2,259.20",-,-,-,18,
,661,62,"1,251",69.99,2.00,-0.40,600,1.65,2.30,100,"19,350.00","1,500","2,267.05","2,377.60","1,500",-,-,-,-,-,-,
,"11,369",-7,"13,706",72.01,2.20,-0.20,150,2.00,2.35,100,"19,400.00","1,600","2,317.40","2,366.50",100,564.55,"2,326.30",-,9,-,6,
,843,-41,"1,495",73.05,2.15,-0.35,300,1.30,2.30,150,"19,450.00","1,500","2,342.45","2,472.80","1,500",-,-,-,-,-,-,
,"56,163","5,879","77,329",75.05,2.35,-0.20,"1,150",2.35,2.45,"4,900","19,500.00",150,"2,431.05","2,452.85",300,-16.15,"2,461.35",-,-,-,23,
,"2,260",517,"2,985",76.48,2.40,-0.20,400,2.05,2.40,350,"19,550.00","1,500","2,462.60","2,576.45","1,500",-,-,-,-,-,-,
,"72,734","5,910","36,972",85.57,2.00,-0.25,100,1.80,2.00,"1,200","20,000.00",150,"2,934.25","2,949.05",50,-19.35,"2,950.90",-,"2,015","-1,604","13,471",
,"15,235","1,970","18,330",106.49,1.75,-0.10,500,1.50,1.75,"1,700","21,000.00",50,"3,924.25","3,966.75",100,8.05,"3,960.10",-,56,-39,444,
,"24,404",496,"16,182",127.13,1.75,-0.15,"1,350",1.75,1.85,"1,000","22,000.00",500,"4,925.45","4,959.00",50,-3.65,"4,950.65",-,6,2,32,
,"31,085","3,130","14,737",147.67,1.90,-,"1,050",1.80,1.90,850,"23,000.00",50,"5,923.00","5,962.65",50,33.10,"5,975.30",-,55,-26,50,
